Date,first_prize,2digit,3digit_1,3digit_2,3digit_3,3digit_4
2014-03-01,906318,35,116,537,753,798
2014-03-16,531404,79,250,305,400,904
2014-04-01,028866,95,186,499,835,938
2014-04-16,153406,26,344,013,355,634
2014-05-02,103297,52,143,158,673,797
2014-05-16,087523,20,150,505,112,246
2014-06-01,781198,18,160,324,409,636
2014-06-16,673920,95,158,140,639,576
2014-07-01,378477,39,123,271,441,864
2014-07-16,468728,45,104,944,117,205
2014-08-01,766391,82,349,576,623,637
2014-08-16,662842,91,639,912,187,633
2014-09-01,856763,22,308,912,477,490
2014-09-16,772269,35,112,257,342,790
2014-10-01,375615,44,251,086,159,520
2014-10-16,656409,94,647,784,848,910
2014-11-01,206608,44,607,203,855,979
2014-11-16,479804,25,179,422,480,709
2014-12-01,480449,11,820,380,580,161
2014-12-16,948354,90,080,763,775,901
2014-12-30,461704,57,853,982,535,950
2015-01-16,244351,74,068,398,595,877
2015-02-01,155537,79,083,286,813,008
2015-02-16,001864,90,843,103,825,392
2015-03-01,240237,34,498,031,857,008
2015-03-16,048151,92,339,622,623,757
2015-04-01,605704,70,558,962,557,861
2015-04-16,506260,38,101,164,495,973
2015-05-02,543466,30,818,163,366,195
2015-05-16,011421,38,799,484,851,928
2015-06-02,388881,65,314,700,876,969
2015-06-16,644742,05,429,253,386,532
2015-07-01,759049,26,565,814,081,567
2015-07-16,121507,49,761,461,830,294
2015-08-01,518677,53,333,598,648,889
2015-08-16,033363,40,781,227,624,648
2015-09-01,021094,89,260,403,068,819
2015-09-16,743148,06,435,209,375,084
2015-10-01,594825,07,175,918,440,799
2015-10-16,968630,62,457,134,412,054
2015-11-01,361211,45,106,757,166,473
2015-11-16,795283,03,241,028,643,802
2015-12-01,915350,78,238,181,714,175
2015-12-17,930255,08,140,250,094,638
2015-12-30,008217,02,246,264,596,895
2016-01-17,304371,50,031,532,743,786
2016-02-01,927800,09,625,999,054,076
2016-02-16,356364,98,312,699,309,535
2016-03-01,439686,06,426,530,155,743
2016-03-16,134918,32,855,877,004,973
2016-04-01,066720,92,390,546,285,852
2016-04-16,221609,87,008,228,507,523
2016-05-02,399459,02,238,403,046,671
2016-05-16,141737,98,382,975,087,268
2016-06-01,511825,14,111,775,880,937
2016-06-16,073816,79,251,804,321,749
2016-07-01,082460,53,169,609,173,302
2016-07-16,449764,55,552,734,158,925
2016-08-01,272932,57,538,983,472,871
2016-08-16,254004,33,366,966,596,631
2016-09-01,638684,62,334,335,630,669
2016-09-16,240650,42,493,583,043,160
2016-10-01,887102,33,194,280,017,458
2016-10-16,571947,98,692,885,032,587
2016-11-01,785438,86,824,976,038,752
2016-11-16,858383,44,040,682,558,570
2016-12-01,086069,77,513,873,148,450
2016-12-16,435286,35,366,596,199,716
2016-12-30,377712,46,304,890,477,769
2017-01-17,145157,25,511,663,516,836
2017-02-01,054672,42,066,807,426,628
2017-02-16,229116,14,128,464,375,953
2017-03-01,978453,78,450,560,052,577
2017-03-16,273863,92,324,918,694,941
2017-04-01,392785,80,020,057,500,709
2017-04-16,816729,40,766,973,241,807
2017-05-02,008656,35,573,949,773,923
2017-05-16,454891,53,008,396,490,603
2017-06-01,053630,61,121,218,581,881
2017-06-16,943142,47,626,878,373,740
2017-07-01,112360,26,226,489,005,688
2017-07-16,820327,87,584,835,390,823
2017-08-01,756519,36,061,386,787,989
2017-08-16,715431,37,115,302,253,945
2017-09-01,143224,65,345,679,195,278
2017-09-16,170143,71,172,647,340,388
2017-10-01,880714,52,611,726,462,952
2017-10-16,413494,86,180,971,128,287
2017-11-01,533726,85,165,425,036,485
2017-11-16,292391,98,831,961,477,628
2017-12-01,451005,33,303,626,257,601
2017-12-16,955596,89,616,836,290,938
2017-12-30,911234,98,373,495,504,953
2018-01-17,203823,50,624,799,236,397
2018-02-01,026853,31,106,947,181,519
2018-02-16,309915,39,007,388,230,748
2018-03-02,759415,29,318,870,589,723
2018-03-16,218559,82,064,720,205,489
2018-04-01,412073,85,131,787,638,924
2018-04-16,739229,60,273,654,076,526
2018-05-02,248038,85,527,980,225,602
2018-05-16,075629,20,130,357,047,506
2018-06-01,988117,95,310,553,248,650
2018-06-16,223131,46,432,507,132,868
